JobID,Schedule Name,Schedule Time,Schedule Type,Enabled
Uw8VMdmg,NatGeo/02 Transfer NatGeo Files,11:25 PM,daily,false
GMVzVZ92,NatGeo/03 Email Alt NatGeo File,11:30 PM,daily,false
8n64yAMh,OneDrive_TEST,8:00 AM,manually,true
R3WCffCc,OneRoster/OneRoster to SQLProd1 1005 PM (RI Cred),10:05 PM,daily,true
8yTBBe6c,Pioneer Valley/01 Upload Pioneer Valley Files (Disabled - Summer),05:55 PM,daily,false
62kd3FYY,ProxMox/ProxMoxTest,8:00 AM,manually,true
4KCW7zKC,PushCoin/PushCoins Midware to PushCoin (SQLProd) (RI Cred),"12:50 PM,07:55 PM",daily,true
ptQvkkU8,PushCoin/PushCoins to PushCoin (Old),"12:50 PM,07:55 PM",daily,false
Une6yEWU,PushCoin/PushCoins to PushCoin (SQLProd) [Off For Rollover],"12:50 PM,07:55 PM",daily,false
ZQTAwwyX,PushCoin/Send Courses File to SQLDEV1 (RI Cred) - Disabled,"12:11 PM,07:41 PM",daily,false
uB78p9bU,PushCoin/Send User File to SQLDEV1 (RI Cred) - Disabled,"12:11 PM,07:41 PM",daily,false
zuuCmYn4,Reflex/01 Upload Reflex Files,08:50 PM,daily,false
Y4r4zhcn,Reflex/01b Upload OneDrive Reflex Files,"08:51 PM,10:51 PM",daily,false
V3dcNx2q,Reflex/02 Transfer Reflex Files,"08:55 PM,10:55 PM",daily,false
BwFVFbwT,Rubicon Atlas/01 Email Rubicon Atlas File (RI Cred),07:30 AM,weekly,true
2Xjw4VBg,Sample,8:00 AM,manually,false
nNfXNVbE,Sample of Documentation,8:00 AM,manually,true
eGMAhmB6,SchooLinks/01 Upload SchooLinks Files (RI Cred),08:20 PM,daily,true
EgQeQGb9,SchooLinks/02 Transfer SchooLinks File,08:25 PM,daily,true
UB3Tk3px,Skyward/Send Lawson Backup to Skyward,8:00 AM,manually,true
zQT3YuPc,SNAP/Cloud SNAP Condition Imports (ird204),"12:15 AM,01:15 AM,02:15 AM,03:15 AM",weekly,true
FxRyYUr8,SNAP/Cloud SNAP Demographics,"04:55 AM,04:20 PM",weekly,true
HXu66fGh,SNAP/Import Notifications (Disabled 2024-07-23),05:30 AM,weekly,false
GA3vqwcF,SNAP/SNAPLive2 Files (No Longer Using),04:45 AM,daily,false
cg9zUPgA,SNAP/Upload Health Conditions,8:00 AM,manually,true
ARXk7HH3,Test - for documentation,8:00 AM,manually,true
T9tbdvPw,Test 2022-03-18,8:00 AM,manually,true
pZH3RgGM,Test for Documentation,8:00 AM,manually,true
FddVGqWT,Test_BS,8:00 AM,manually,false
NgGgqHNt,Test_Email,8:00 AM,manually,false
TW4hKbFc,True North Logic/01 Upload True North Logic Files (From DW3) (RI Cred) - Off 8-7-24,08:25 PM,daily,false
QruyKPDy,True North Logic/02 Transfer to TNL (Disabled),08:31 PM,daily,false
Um86PCpB,True North Logic/03 New Transfer to TNL - Off 8-7-24,08:31 PM,daily,false
cnTgWdWH,VersaTrans/VersaTrans Files to V_ Drive (No Longer Using),09:00 PM,daily,false
TEHP32me,VersaTrans/VersaTrans Import Friday File (RI Cred),05:05 PM,weekly,true
TZxVEaUe,VersaTrans/VersaTrans(US) to V Drive (RI Cred),02:30 AM,daily,true
rzYYYAyW,YellowFolder/YellowFolder - Pass on Export File to YellowFolder (RI Cred),11:15 PM,daily,false
7mTkPMb6,YellowFolder/YellowFolder - Pass on Skyward Export File to YellowFolder (RI Cred),11:15 PM,daily,true
